,Medical material,Arterial wall calcification,Cardiomegaly,Pericardial effusion,Coronary artery wall calcification,Hiatal hernia,Lymphadenopathy,Emphysema,Atelectasis,Lung nodule,Lung opacity,Pulmonary fibrotic sequela,Pleural effusion,Mosaic attenuation pattern,Peribronchial thickening,Consolidation,Bronchiectasis,Interlobular septal thickening
Medical material,0.0,0.022353053092956543,0.024500131607055664,0.07209515571594238,0.03142690658569336,0.021019458770751953,0.02474522590637207,0.03946107625961304,0.028081417083740234,0.030402779579162598,0.01711130142211914,0.025792598724365234,0.03529435396194458,0.029345929622650146,0.015379548072814941,0.026275694370269775,0.033960938453674316,0.02501612901687622
Arterial wall calcification,0.022353053092956543,0.0,0.020583748817443848,0.03190356492996216,0.00596541166305542,0.007538318634033203,0.008294820785522461,0.011992692947387695,0.012776672840118408,0.0076819658279418945,0.00448000431060791,0.0053291916847229,0.04509395360946655,0.011859893798828125,0.00674593448638916,0.03190302848815918,0.013630151748657227,0.010000288486480713
Cardiomegaly,0.024500131607055664,0.020583748817443848,5.960464477539063e-08,0.07155537605285645,0.041097044944763184,0.019195139408111572,0.012096166610717773,0.022569119930267334,0.011359333992004395,0.03321027755737305,0.016734063625335693,0.028777599334716797,0.019421041011810303,0.017901182174682617,0.02145206928253174,0.012249886989593506,0.012884974479675293,0.01567399501800537
Pericardial effusion,0.07209515571594238,0.03190356492996216,0.07155537605285645,0.0,0.029925942420959473,0.04280143976211548,0.04214322566986084,0.028195440769195557,0.048357605934143066,0.027116060256958008,0.0358654260635376,0.02776467800140381,0.09769201278686523,0.04848325252532959,0.044082045555114746,0.07669413089752197,0.053406715393066406,0.04171115159988403
Coronary artery wall calcification,0.03142690658569336,0.00596541166305542,0.041097044944763184,0.029925942420959473,0.0,0.017309129238128662,0.020412087440490723,0.023217976093292236,0.028399944305419922,0.012294173240661621,0.01279449462890625,0.006970405578613281,0.06921720504760742,0.020059049129486084,0.012271106243133545,0.052532970905303955,0.026964187622070312,0.023026347160339355
Hiatal hernia,0.021019458770751953,0.007538318634033203,0.019195139408111572,0.04280143976211548,0.017309129238128662,0.0,0.010374844074249268,0.015450656414031982,0.016786813735961914,0.013445615768432617,0.005350470542907715,0.007550418376922607,0.05084735155105591,0.008545398712158203,0.01464390754699707,0.021265506744384766,0.016845524311065674,0.008844614028930664
Lymphadenopathy,0.02474522590637207,0.008294820785522461,0.012096166610717773,0.04214322566986084,0.020412087440490723,0.010374844074249268,0.0,0.007243335247039795,0.0046675801277160645,0.009050607681274414,0.004242658615112305,0.010318875312805176,0.028287947177886963,0.012628257274627686,0.00828862190246582,0.02154773473739624,0.007250308990478516,0.011569619178771973
Emphysema,0.03946107625961304,0.011992692947387695,0.022569119930267334,0.028195440769195557,0.023217976093292236,0.015450656414031982,0.007243335247039795,1.1920928955078125e-07,0.007191777229309082,0.008293867111206055,0.009372353553771973,0.011202454566955566,0.04371064901351929,0.01988065242767334,0.01775902509689331,0.03304874897003174,0.012065410614013672,0.017833352088928223
Atelectasis,0.028081417083740234,0.012776672840118408,0.011359333992004395,0.048357605934143066,0.028399944305419922,0.016786813735961914,0.0046675801277160645,0.007191777229309082,0.0,0.012272298336029053,0.007732033729553223,0.017559707164764404,0.022409796714782715,0.019163012504577637,0.013610482215881348,0.02186274528503418,0.010469794273376465,0.015398979187011719
Lung nodule,0.030402779579162598,0.0076819658279418945,0.03321027755737305,0.027116060256958008,0.012294173240661621,0.013445615768432617,0.009050607681274414,0.008293867111206055,0.012272298336029053,0.0,0.0060842037200927734,0.005041718482971191,0.04931628704071045,0.02163916826248169,0.00957798957824707,0.03970760107040405,0.01953291893005371,0.019990622997283936
Lung opacity,0.01711130142211914,0.00448000431060791,0.016734063625335693,0.0358654260635376,0.01279449462890625,0.005350470542907715,0.004242658615112305,0.009372353553771973,0.007732033729553223,0.0060842037200927734,5.960464477539063e-08,0.005112588405609131,0.03466439247131348,0.011576175689697266,0.005845069885253906,0.019145190715789795,0.01190030574798584,0.00809943675994873
Pulmonary fibrotic sequela,0.025792598724365234,0.0053291916847229,0.028777599334716797,0.02776467800140381,0.006970405578613281,0.007550418376922607,0.010318875312805176,0.011202454566955566,0.017559707164764404,0.005041718482971191,0.005112588405609131,0.0,0.05361032485961914,0.01399385929107666,0.009179115295410156,0.03430509567260742,0.01779162883758545,0.014997601509094238
Pleural effusion,0.03529435396194458,0.04509395360946655,0.019421041011810303,0.09769201278686523,0.06921720504760742,0.05084735155105591,0.028287947177886963,0.04371064901351929,0.022409796714782715,0.04931628704071045,0.03466439247131348,0.05361032485961914,0.0,0.05105477571487427,0.031151890754699707,0.02584928274154663,0.034596025943756104,0.03668320178985596
Mosaic attenuation pattern,0.029345929622650146,0.011859893798828125,0.017901182174682617,0.04848325252532959,0.020059049129486084,0.008545398712158203,0.012628257274627686,0.01988065242767334,0.019163012504577637,0.02163916826248169,0.011576175689697266,0.01399385929107666,0.05105477571487427,0.0,0.017641842365264893,0.025767982006072998,0.01694709062576294,0.015010416507720947
Peribronchial thickening,0.015379548072814941,0.00674593448638916,0.02145206928253174,0.044082045555114746,0.012271106243133545,0.01464390754699707,0.00828862190246582,0.01775902509689331,0.013610482215881348,0.00957798957824707,0.005845069885253906,0.009179115295410156,0.031151890754699707,0.017641842365264893,5.960464477539063e-08,0.028608322143554688,0.013156652450561523,0.016795754432678223
Consolidation,0.026275694370269775,0.03190302848815918,0.012249886989593506,0.07669413089752197,0.052532970905303955,0.021265506744384766,0.02154773473739624,0.03304874897003174,0.02186274528503418,0.03970760107040405,0.019145190715789795,0.03430509567260742,0.02584928274154663,0.025767982006072998,0.028608322143554688,0.0,0.026114165782928467,0.01835179328918457
Bronchiectasis,0.033960938453674316,0.013630151748657227,0.012884974479675293,0.053406715393066406,0.026964187622070312,0.016845524311065674,0.007250308990478516,0.012065410614013672,0.010469794273376465,0.01953291893005371,0.01190030574798584,0.01779162883758545,0.034596025943756104,0.01694709062576294,0.013156652450561523,0.026114165782928467,0.0,0.017727375030517578
Interlobular septal thickening,0.02501612901687622,0.010000288486480713,0.01567399501800537,0.04171115159988403,0.023026347160339355,0.008844614028930664,0.011569619178771973,0.017833352088928223,0.015398979187011719,0.019990622997283936,0.00809943675994873,0.014997601509094238,0.03668320178985596,0.015010416507720947,0.016795754432678223,0.01835179328918457,0.017727375030517578,0.0
