,Medical material,Arterial wall calcification,Cardiomegaly,Pericardial effusion,Coronary artery wall calcification,Hiatal hernia,Lymphadenopathy,Emphysema,Atelectasis,Lung nodule,Lung opacity,Pulmonary fibrotic sequela,Pleural effusion,Mosaic attenuation pattern,Peribronchial thickening,Consolidation,Bronchiectasis,Interlobular septal thickening
Medical material,0.0,0.02680206298828125,0.029597938060760498,0.07874894142150879,0.03254282474517822,0.02627617120742798,0.028403818607330322,0.04721254110336304,0.03537273406982422,0.03452146053314209,0.020251870155334473,0.028647780418395996,0.040740132331848145,0.03253293037414551,0.01725172996520996,0.03539222478866577,0.04109835624694824,0.03132981061935425
Arterial wall calcification,0.02680206298828125,0.0,0.018462538719177246,0.0324702262878418,0.006313800811767578,0.0069116950035095215,0.00644528865814209,0.009655356407165527,0.012329638004302979,0.00809091329574585,0.004002749919891357,0.005834758281707764,0.043236732482910156,0.010773301124572754,0.006688475608825684,0.029955029487609863,0.012095987796783447,0.010069549083709717
Cardiomegaly,0.029597938060760498,0.018462538719177246,0.0,0.07663583755493164,0.039448678493499756,0.016242265701293945,0.012845158576965332,0.024273037910461426,0.010722517967224121,0.036837100982666016,0.018070697784423828,0.0322575569152832,0.01950162649154663,0.025615215301513672,0.02129340171813965,0.01268768310546875,0.01230853796005249,0.01455014944076538
Pericardial effusion,0.07874894142150879,0.0324702262878418,0.07663583755493164,0.0,0.027645647525787354,0.04620331525802612,0.04322624206542969,0.029788076877593994,0.05408358573913574,0.02561783790588379,0.03719061613082886,0.027737200260162354,0.10128593444824219,0.04617643356323242,0.04201853275299072,0.08164286613464355,0.05567663908004761,0.04740190505981445
Coronary artery wall calcification,0.03254282474517822,0.006313800811767578,0.039448678493499756,0.027645647525787354,0.0,0.018549740314483643,0.018368124961853027,0.022049427032470703,0.030600130558013916,0.011134564876556396,0.011078059673309326,0.005503475666046143,0.06749296188354492,0.013405025005340576,0.011348605155944824,0.05080467462539673,0.02871847152709961,0.024414777755737305
Hiatal hernia,0.02627617120742798,0.0069116950035095215,0.016242265701293945,0.04620331525802612,0.018549740314483643,0.0,0.007577419281005859,0.013645648956298828,0.014111340045928955,0.014279723167419434,0.005478024482727051,0.010017931461334229,0.045887529850006104,0.010210990905761719,0.013328790664672852,0.01918172836303711,0.013725459575653076,0.009105861186981201
Lymphadenopathy,0.028403818607330322,0.00644528865814209,0.012845158576965332,0.04322624206542969,0.018368124961853027,0.007577419281005859,0.0,0.007365822792053223,0.0052378177642822266,0.010038495063781738,0.003881394863128662,0.01120603084564209,0.028841495513916016,0.01648843288421631,0.007595717906951904,0.022339165210723877,0.008699297904968262,0.01077967882156372
Emphysema,0.04721254110336304,0.009655356407165527,0.024273037910461426,0.029788076877593994,0.022049427032470703,0.013645648956298828,0.007365822792053223,0.0,0.008200526237487793,0.009310543537139893,0.010507464408874512,0.013507366180419922,0.04416024684906006,0.02526223659515381,0.01696479320526123,0.03462702035903931,0.011054635047912598,0.01875060796737671
Atelectasis,0.03537273406982422,0.012329638004302979,0.010722517967224121,0.05408358573913574,0.030600130558013916,0.014111340045928955,0.0052378177642822266,0.008200526237487793,1.1920928955078125e-07,0.01679837703704834,0.00964057445526123,0.022333920001983643,0.020950615406036377,0.027379989624023438,0.015090584754943848,0.02115696668624878,0.009914755821228027,0.014566779136657715
Lung nodule,0.03452146053314209,0.00809091329574585,0.036837100982666016,0.02561783790588379,0.011134564876556396,0.014279723167419434,0.010038495063781738,0.009310543537139893,0.01679837703704834,0.0,0.0064678192138671875,0.0051457881927490234,0.0526425838470459,0.02202308177947998,0.009678125381469727,0.04383361339569092,0.023222923278808594,0.022377848625183105
