Checkpoint,Class,Mean Pos Sim,Mean Neg Sim,Separation (Δ),PC1 Variance,PC2 Variance,Total Variance,N Pos,N Neg
frozen1500,Medical material,0.9100526571273804,0.930962085723877,-0.020909428596496582,0.2515315,0.118504606,0.37003613,5,55
frozen1500,Arterial wall calcification,0.9490214586257935,0.943049430847168,0.005972027778625488,0.25812542,0.122107655,0.38023308,16,44
frozen1500,Cardiomegaly,0.9515926241874695,0.9337857365608215,0.01780688762664795,0.2565054,0.119144015,0.37564942,11,49
frozen1500,Pericardial effusion,1.0,0.9187238216400146,0.08127617835998535,0.249895,0.12184936,0.37174436,1,59
frozen1500,Coronary artery wall calcification,0.9511508345603943,0.9433125257492065,0.007838308811187744,0.25862652,0.121064916,0.37969142,14,46
frozen1500,Hiatal hernia,0.9423079490661621,0.9393100142478943,0.0029979348182678223,0.22986542,0.12753993,0.35740536,10,50
frozen1500,Lymphadenopathy,0.9575567245483398,0.9430602192878723,0.01449650526046753,0.25515506,0.120496765,0.37565184,15,45
frozen1500,Emphysema,0.9583552479743958,0.9420897364616394,0.016265511512756348,0.2594479,0.11898269,0.3784306,18,42
frozen1500,Atelectasis,0.9501372575759888,0.9427701830863953,0.007367074489593506,0.24302375,0.12044639,0.36347014,16,44
frozen1500,Lung nodule,0.9622516632080078,0.9385247230529785,0.023726940155029297,0.25991014,0.12137184,0.38128197,25,35
frozen1500,Lung opacity,0.9458207488059998,0.9518225193023682,-0.006001770496368408,0.2553157,0.12198811,0.3773038,21,39
frozen1500,Pulmonary fibrotic sequela,0.9549300074577332,0.9469278454780579,0.008002161979675293,0.25373217,0.120681025,0.3744132,14,46
frozen1500,Pleural effusion,0.9418025016784668,0.9252483248710632,0.016554176807403564,0.25650442,0.120447494,0.3769519,7,53
frozen1500,Mosaic attenuation pattern,0.9636602401733398,0.9303459525108337,0.033314287662506104,0.2602923,0.111837715,0.37213,4,56
frozen1500,Peribronchial thickening,0.9408628344535828,0.9450934529304504,-0.004230618476867676,0.25177753,0.1219049,0.37368244,10,50
frozen1500,Consolidation,0.9392318725585938,0.9312698841094971,0.00796198844909668,0.25809163,0.118252926,0.37634456,8,52
frozen1500,Bronchiectasis,0.9571326375007629,0.9392470717430115,0.017885565757751465,0.2536062,0.12198856,0.37559476,5,55
frozen1500,Interlobular septal thickening,0.9528722167015076,0.9398528337478638,0.013019382953643799,0.2574645,0.11966469,0.3771292,4,56
frozen300,Medical material,0.9114828109741211,0.9255304336547852,-0.014047622680664062,0.2421529,0.118652165,0.36080506,5,55
frozen300,Arterial wall calcification,0.946774959564209,0.9404997229576111,0.0062752366065979,0.25174737,0.11876537,0.37051272,16,44
frozen300,Cardiomegaly,0.9501093029975891,0.9335573315620422,0.016551971435546875,0.25765884,0.11970735,0.3773662,11,49
frozen300,Pericardial effusion,1.0,0.9126465916633606,0.0873534083366394,0.24786885,0.11940812,0.36727697,1,59
frozen300,Coronary artery wall calcification,0.9525938034057617,0.9430539608001709,0.00953984260559082,0.24832366,0.123208866,0.37153253,14,46
frozen300,Hiatal hernia,0.9451395869255066,0.9424207210540771,0.0027188658714294434,0.23977737,0.11655472,0.3563321,10,50
frozen300,Lymphadenopathy,0.9585206508636475,0.9443116784095764,0.014208972454071045,0.2582363,0.12034426,0.37858054,15,45
frozen300,Emphysema,0.9586338400840759,0.9418875575065613,0.01674628257751465,0.25796157,0.12043135,0.37839293,18,42
frozen300,Atelectasis,0.9533251523971558,0.9452887177467346,0.008036434650421143,0.260998,0.11989332,0.38089132,16,44
frozen300,Lung nodule,0.9601039886474609,0.9367164373397827,0.023387551307678223,0.25135186,0.11841859,0.36977047,25,35
frozen300,Lung opacity,0.9442846179008484,0.9511502385139465,-0.0068656206130981445,0.24969701,0.12098145,0.37067845,21,39
frozen300,Pulmonary fibrotic sequela,0.9512338638305664,0.9428602457046509,0.008373618125915527,0.2506121,0.11340238,0.3640145,14,46
frozen300,Pleural effusion,0.9389979243278503,0.9216179251670837,0.0173799991607666,0.2482982,0.11890755,0.36720574,7,53
frozen300,Mosaic attenuation pattern,0.9645088315010071,0.9207593202590942,0.04374951124191284,0.23223901,0.119758844,0.35199785,4,56
frozen300,Peribronchial thickening,0.939360499382019,0.9432201981544495,-0.00385969877243042,0.25616023,0.119773015,0.37593323,10,50
frozen300,Consolidation,0.9364487528800964,0.9283871054649353,0.008061647415161133,0.23318216,0.12335657,0.35653874,8,52
frozen300,Bronchiectasis,0.9515413045883179,0.935198187828064,0.016343116760253906,0.24423654,0.11299028,0.35722682,5,55
frozen300,Interlobular septal thickening,0.9511245489120483,0.9328009486198425,0.01832360029220581,0.25832438,0.118638225,0.3769626,4,56
frozen600,Medical material,0.9109376668930054,0.9234919548034668,-0.012554287910461426,0.24116796,0.11643195,0.3575999,5,55
frozen600,Arterial wall calcification,0.9484865665435791,0.942479133605957,0.00600743293762207,0.25388992,0.11824605,0.37213597,16,44
frozen600,Cardiomegaly,0.9484334588050842,0.9299064874649048,0.018526971340179443,0.24380538,0.11735378,0.36115915,11,49
frozen600,Pericardial effusion,1.0,0.9199154376983643,0.08008456230163574,0.25396666,0.11941323,0.3733799,1,59
frozen600,Coronary artery wall calcification,0.9489879012107849,0.9360671043395996,0.012920796871185303,0.23336357,0.122050695,0.35541427,14,46
frozen600,Hiatal hernia,0.9443977475166321,0.9432726502418518,0.0011250972747802734,0.25609905,0.11983238,0.37593144,10,50
frozen600,Lymphadenopathy,0.9580191373825073,0.9439253807067871,0.014093756675720215,0.25915942,0.1210158,0.38017523,15,45
frozen600,Emphysema,0.9566760659217834,0.9398298859596252,0.016846179962158203,0.24265912,0.12040815,0.36306727,18,42
frozen600,Atelectasis,0.9522240161895752,0.9440283179283142,0.008195698261260986,0.25196266,0.1203856,0.37234825,16,44
frozen600,Lung nodule,0.9609311819076538,0.9365638494491577,0.024367332458496094,0.26263562,0.118824534,0.38146016,25,35
frozen600,Lung opacity,0.9447007179260254,0.9511575102806091,-0.00645679235458374,0.25693944,0.11999942,0.37693888,21,39
frozen600,Pulmonary fibrotic sequela,0.9534956812858582,0.9446355700492859,0.008860111236572266,0.2509774,0.11595745,0.36693484,14,46
frozen600,Pleural effusion,0.9392027258872986,0.9212111830711365,0.01799154281616211,0.24334735,0.119849406,0.36319676,7,53
frozen600,Mosaic attenuation pattern,0.9642163515090942,0.9254919290542603,0.038724422454833984,0.23320715,0.117203854,0.350411,4,56
frozen600,Peribronchial thickening,0.9404125213623047,0.943288266658783,-0.0028757452964782715,0.2560868,0.11433322,0.37042,10,50
frozen600,Consolidation,0.9389744997024536,0.9292808175086975,0.009693682193756104,0.25072032,0.12007923,0.37079954,8,52
frozen600,Bronchiectasis,0.952602207660675,0.9357046484947205,0.01689755916595459,0.24448533,0.11872978,0.36321512,5,55
frozen600,Interlobular septal thickening,0.949985921382904,0.9296261668205261,0.02035975456237793,0.24930823,0.11695372,0.36626196,4,56
